species	num_genomes	max_distance	mean_distance	std_distance	quartile_75_distance	quartile_25_distance	max_length	min_length
'Catharanthus roseus'	1	0.0	0.0		0.0	0.0	603949.0	603949.0
'Nostoc azollae'	1	0.0	0.0		0.0	0.0	5486145.0	5486145.0
Acaryochloris marina	1	0.0	0.0		0.0	0.0	8361599.0	8361599.0
Acetoanaerobium sticklandii	1	0.0	0.0		0.0	0.0	2715461.0	2715461.0
Acetobacter aceti	1	0.0	0.0		0.0	0.0	3725037.0	3725037.0
Acetobacter ascendens	3	0.0182524	0.009807377777777777	0.008447414714836985	0.0179508	0.0	3285832.0	2999217.0
Acetobacter orientalis	1	0.0	0.0		0.0	0.0	3214967.0	3214967.0
Acetobacter oryzifermentans	2	0.0196275	0.00981375	0.01133194240851938	0.0196275	0.0	3127455.0	3106397.0
Acetobacter pasteurianus	13	0.06263250000000001	0.018785293455621303	0.023234982637939664	0.052714	0.0	3408817.0	2806148.0
Acetobacter persici	1	0.0	0.0		0.0	0.0	3756676.0	3756676.0
Acetobacter pomorum	2	0.0183132	0.0091566	0.010573130949723456	0.0183132	0.0	3153219.0	3007920.0
Acetobacter senegalensis	1	0.0	0.0		0.0	0.0	3969909.0	3969909.0
Acetobacter sp.	1	0.0	0.0		0.0	0.0	2941821.0	2941821.0
Acetobacter tropicalis	1	0.0	0.0		0.0	0.0	4139662.0	4139662.0
Acetobacteraceae bacterium	2	0.21089699999999997	0.10544849999999999	0.1217614397212845	0.21089699999999997	0.0	2127761.0	1923586.0
Acetobacterium woodii	1	0.0	0.0		0.0	0.0	4044777.0	4044777.0
Acetohalobium arabaticum	1	0.0	0.0		0.0	0.0	2469596.0	2469596.0
Acetomicrobium mobile	1	0.0	0.0		0.0	0.0	2160700.0	2160700.0
Acholeplasma axanthum	1	0.0	0.0		0.0	0.0	1883099.0	1883099.0
Acholeplasma brassicae	1	0.0	0.0		0.0	0.0	1877792.0	1877792.0
Acholeplasma hippikon	1	0.0	0.0		0.0	0.0	1465667.0	1465667.0
Acholeplasma laidlawii	2	9.55247e-05	4.776235e-05	5.515121125925824e-05	9.55247e-05	0.0	1497557.0	1496992.0
Acholeplasma oculi	1	0.0	0.0		0.0	0.0	1587120.0	1587120.0
Acholeplasma palmae	1	0.0	0.0		0.0	0.0	1554229.0	1554229.0
Achromobacter denitrificans	2	0.010568799999999998	0.005284399999999999	0.006101899525011316	0.010568799999999998	0.0	7010850.0	6929205.0
Achromobacter insolitus	3	0.010145900000000001	0.004509288888888889	0.005347358818717059	0.010145900000000001	0.0	6893045.0	6472476.0
Achromobacter sp.	2	0.14382999999999999	0.07191499999999999	0.08304028921754388	0.14382999999999999	0.0	6648943.0	6236552.0
Achromobacter spanius	4	0.132399	0.062314925	0.057735504029825524	0.126974	0.0	6687823.0	6340208.0
Achromobacter xylosoxidans	7	0.126974	0.05816840653061224	0.04262115219058126	0.0651085	0.011801700000000002	7359146.0	5876049.0
Acidaminococcus fermentans	1	0.0	0.0		0.0	0.0	2329769.0	2329769.0
Acidaminococcus intestini	1	0.0	0.0		0.0	0.0	2487765.0	2487765.0
Acidiferrobacter sp.	1	0.0	0.0		0.0	0.0	3398398.0	3398398.0
Acidihalobacter prosperus	1	0.0	0.0		0.0	0.0	3566941.0	3566941.0
Acidimicrobium ferrooxidans	1	0.0	0.0		0.0	0.0	2158157.0	2158157.0
Acidiphilium cryptum	1	0.0	0.0		0.0	0.0	3963080.0	3963080.0
Acidiphilium multivorum	1	0.0	0.0		0.0	0.0	4214744.0	4214744.0
Acidipropionibacterium acidipropionici	6	0.0161637	0.008747455133333333	0.007416815055987573	0.0156702	2.3827399999999998e-05	3707191.0	3615145.0
Acidipropionibacterium jensenii	3	0.0213613	0.012913533333333331	0.009762449677335087	0.018557900000000002	0.0	3180547.0	3032477.0
Acidipropionibacterium virtanenii	1	0.0	0.0		0.0	0.0	3432872.0	3432872.0
Acidisphaera sp.	1	0.0	0.0		0.0	0.0	4037611.0	4037611.0
Acidithiobacillus caldus	3	0.013452500000000001	0.0066196200000000005	0.005761313707096238	0.010957099999999999	0.0	3237599.0	2975756.0
Acidithiobacillus ferridurans	1	0.0	0.0		0.0	0.0	2921399.0	2921399.0
Acidithiobacillus ferrivorans	1	0.0	0.0		0.0	0.0	3207552.0	3207552.0
Acidithiobacillus ferrooxidans	2	0.00411762	0.00205881	0.0023773090154205873	0.00411762	0.0	2982397.0	2885038.0
Acidobacteriaceae bacterium	1	0.0	0.0		0.0	0.0	7600726.0	7600726.0
Acidobacterium capsulatum	1	0.0	0.0		0.0	0.0	4127356.0	4127356.0
Acidothermus cellulolyticus	1	0.0	0.0		0.0	0.0	2443540.0	2443540.0
Acidovorax avenae	1	0.0	0.0		0.0	0.0	5482170.0	5482170.0
Acidovorax carolinensis	4	0.0279555	0.01667346825	0.013233963781698721	0.026360675	0.00036258449999999995	4704737.0	4058023.0
Acidovorax citrulli	2	4.769060000000002e-05	2.384530000000001e-05	2.7534180747814784e-05	4.769060000000002e-05	0.0	5352772.0	5349924.0
Acidovorax ebreus	1	0.0	0.0		0.0	0.0	3796573.0	3796573.0
Acidovorax sp.	5	0.197292	0.12829656	0.06833733081259466	0.167688	0.1233	5196935.0	4416593.0
Acinetobacter albensis	1	0.0	0.0		0.0	0.0	2962453.0	2962453.0
Acinetobacter baumannii	145	0.0264788	0.016020778396394767	0.008198064302912833	0.021709299999999997	0.00534606	4342018.0	3711700.0
Acinetobacter baylyi	1	0.0	0.0		0.0	0.0	3598621.0	3598621.0
Acinetobacter bereziniae	1	0.0	0.0		0.0	0.0	4509124.0	4509124.0
Acinetobacter calcoaceticus	2	0.0549966	0.0274983	0.031752301814514175	0.0549966	0.0	4115994.0	3934114.0
Acinetobacter defluvii	1	0.0	0.0		0.0	0.0	3812088.0	3812088.0
Acinetobacter equi	1	0.0	0.0		0.0	0.0	3054269.0	3054269.0
Acinetobacter guillouiae	1	0.0	0.0		0.0	0.0	4648418.0	4648418.0
Acinetobacter haemolyticus	4	0.026059699999999998	0.017706174999999998	0.010689308306246948	0.0244736	0.01556025	3734602.0	3322046.0
Acinetobacter indicus	1	0.0	0.0		0.0	0.0	3157380.0	3157380.0
Acinetobacter johnsonii	4	0.042731599999999995	0.026682375	0.017606994122772158	0.040471125	0.013643775	4081329.0	3398706.0
Acinetobacter junii	3	0.0251607	0.01416928888888889	0.011324120330785573	0.023677700000000003	0.0	3384767.0	3288057.0
Acinetobacter lactucae	1	0.0	0.0		0.0	0.0	3981712.0	3981712.0
Acinetobacter larvae	1	0.0	0.0		0.0	0.0	3741098.0	3741098.0
Acinetobacter lwoffii	1	0.0	0.0		0.0	0.0	3495680.0	3495680.0
Acinetobacter modestus	1	0.0	0.0		0.0	0.0	3092259.0	3092259.0
Acinetobacter nosocomialis	8	0.025729200000000004	0.0182544978125	0.00802107435169626	0.0233014	0.019377725	4142356.0	3793191.0
Acinetobacter oleivorans	1	0.0	0.0		0.0	0.0	4152543.0	4152543.0
Acinetobacter pittii	11	0.037311000000000004	0.027781347603305792	0.010332158980304164	0.0332581	0.029423400000000002	4295433.0	3862530.0
Acinetobacter radioresistens	2	0.0158335	0.00791675	0.00914147548721394	0.0158335	0.0	3132860.0	3089777.0
Acinetobacter schindleri	2	0.028315100000000006	0.014157550000000003	0.016347730607131176	0.028315100000000006	0.0	3268053.0	3244663.0
Acinetobacter soli	1	0.0	0.0		0.0	0.0	3636349.0	3636349.0
Acinetobacter sp.	8	0.23010999999999998	0.171116165625	0.07429756812444628	0.21305549999999998	0.17353749999999998	3967361.0	3048277.0
Acinetobacter tandoii	1	0.0	0.0		0.0	0.0	4169274.0	4169274.0
Acinetobacter towneri	1	0.0	0.0		0.0	0.0	2953039.0	2953039.0
Acinetobacter ursingii	1	0.0	0.0		0.0	0.0	3568996.0	3568996.0
Acinetobacter variabilis	1	0.0	0.0		0.0	0.0	3696158.0	3696158.0
Acinetobacter wuhouensis	2	0.027076999999999997	0.013538499999999998	0.015632913238847496	0.027076999999999997	0.0	4599140.0	3960451.0
Actinoalloteichus hoggarensis	1	0.0	0.0		0.0	0.0	6606717.0	6606717.0
Actinoalloteichus hymeniacidonis	1	0.0	0.0		0.0	0.0	6306386.0	6306386.0
Actinoalloteichus sp.	3	0.21089699999999997	0.09446853777777778	0.11046119653923156	0.21089699999999997	0.0	7275385.0	6822750.0
Actinobacillus delphinicola	1	0.0	0.0		0.0	0.0	1837244.0	1837244.0
Actinobacillus equuli	2	4.769060000000002e-05	2.384530000000001e-05	2.7534180747814784e-05	4.769060000000002e-05	0.0	2451991.0	2431533.0
Actinobacillus lignieresii	1	0.0	0.0		0.0	0.0	2377048.0	2377048.0
