species,metric,lower_bounds,upper_bounds
Escherichia coli,N50,19000.0,
Escherichia coli,no_of_contigs,,700
Escherichia coli,GC_Content,50.0,51.0
Escherichia coli,Genome_Size,4100000,6200000
Salmonella enterica,N50,62000.0,
Salmonella enterica,no_of_contigs,,200
Salmonella enterica,GC_Content,51.0,52.0
Salmonella enterica,Genome_Size,4400000,5900000
Staphylococcus aureus,N50,23000.0,
Staphylococcus aureus,no_of_contigs,,300
Staphylococcus aureus,GC_Content,32.0,33.0
Staphylococcus aureus,Genome_Size,2600000,3300000
Mycobacterium tuberculosis,N50,35000.0,
Mycobacterium tuberculosis,no_of_contigs,,310
Mycobacterium tuberculosis,GC_Content,65.0,66.0
Mycobacterium tuberculosis,Genome_Size,4200000,4600000
Enterococcus faecium,N50,16000.0,
Enterococcus faecium,no_of_contigs,,600
Enterococcus faecium,GC_Content,37.0,38.0
Enterococcus faecium,Genome_Size,2400000,3500000
Neisseria meningitidis,N50,15000.0,
Neisseria meningitidis,no_of_contigs,,340
Neisseria meningitidis,GC_Content,51.0,52.0
Neisseria meningitidis,Genome_Size,2000000,2400000
Neisseria gonorrhoeae,N50,30000.0,
Neisseria gonorrhoeae,no_of_contigs,,220
Neisseria gonorrhoeae,GC_Content,52.0,53.0
Neisseria gonorrhoeae,Genome_Size,2000000,2400000
Campylobacter jejuni,N50,26000.0,
Campylobacter jejuni,no_of_contigs,,160
Campylobacter jejuni,GC_Content,30.0,31.0
Campylobacter jejuni,Genome_Size,1500000,2000000
Listeria monocytogenes,N50,65000.0,
Listeria monocytogenes,no_of_contigs,,120
Listeria monocytogenes,GC_Content,38.0,38.0
Listeria monocytogenes,Genome_Size,2800000,3300000
Streptococcus pneumoniae,N50,24000.0,
Streptococcus pneumoniae,no_of_contigs,,220
Streptococcus pneumoniae,GC_Content,39.0,40.0
Streptococcus pneumoniae,Genome_Size,1900000,2400000
Klebsiella pneumoniae,N50,51000.0,
Klebsiella pneumoniae,no_of_contigs,,410
Klebsiella pneumoniae,GC_Content,56.0,58.0
Klebsiella pneumoniae,Genome_Size,4900000,6400000
Bordetella pertussis,N50,11000.0,
Bordetella pertussis,no_of_contigs,,550
Bordetella pertussis,GC_Content,68.0,68.0
Bordetella pertussis,Genome_Size,3700000,4400000
Campylobacter coli,N50,25000.0,
Campylobacter coli,no_of_contigs,,180
Campylobacter coli,GC_Content,30.0,32.0
Campylobacter coli,Genome_Size,1600000,2200000
Corynebacterium diphtheriae,N50,63000.0,
Corynebacterium diphtheriae,no_of_contigs,,100
Corynebacterium diphtheriae,GC_Content,53.0,54.0
Corynebacterium diphtheriae,Genome_Size,2300000,2600000
Enterobacter hormaechei,N50,62000.0,
Enterobacter hormaechei,no_of_contigs,,290
Enterobacter hormaechei,GC_Content,55.0,56.0
Enterobacter hormaechei,Genome_Size,4500000,5700000
Vibrio cholerae,N50,81000.0,
Vibrio cholerae,no_of_contigs,,230
Vibrio cholerae,GC_Content,47.0,48.0
Vibrio cholerae,Genome_Size,3800000,4500000
Streptococcus pyogenes,N50,64000.0,
Streptococcus pyogenes,no_of_contigs,,90
Streptococcus pyogenes,GC_Content,38.0,38.0
Streptococcus pyogenes,Genome_Size,1600000,2100000
Klebsiella michiganensis,N50,53000.0,
Klebsiella michiganensis,no_of_contigs,,370
Klebsiella michiganensis,GC_Content,55.0,56.0
Klebsiella michiganensis,Genome_Size,5700000,7000000
Clostridium difficile,N50,8000.0,
Clostridium difficile,no_of_contigs,,860
Clostridium difficile,GC_Content,28.0,30.0
Clostridium difficile,Genome_Size,3800000,4600000
Acinetobacter baumannii,N50,15000.0,
Acinetobacter baumannii,no_of_contigs,,520
Acinetobacter baumannii,GC_Content,38.0,40.0
Acinetobacter baumannii,Genome_Size,3600000,4600000
Pseudomonas aeruginosa,N50,35000.0,
Pseudomonas aeruginosa,no_of_contigs,,510
Pseudomonas aeruginosa,GC_Content,65.0,67.0
Pseudomonas aeruginosa,Genome_Size,6000000,7800000
Haemophilus influenzae,N50,30000.0,
