,curated_organism_name,accession,length,superkingdom_code,genus_code,species_code,superkingdom_name,genus_name,species_name,taxid,species_taxid,GCF_accession,GCF_accession_without_version,filename,num_contigs,info,refseq_organism_name,refseq_full_organism_name,bacsort_organism_name,bioproject,biosample,refseq_category,infraspecific_name,assembly_level,asm_name,submitter,ftp_path
0,Arsenophonus nasoniae,Arsenophonus_nasoniae/0000.fna.gz,3670548,2,637,638,Bacteria,Arsenophonus,Arsenophonus nasoniae,638,638,Arsenophonus_nasoniae/0000.fna.gz,Arsenophonus_nasoniae/0000.fna.gz,Arsenophonus_nasoniae/0000.fna.gz,1,,Arsenophonus nasoniae,Arsenophonus nasoniae,Arsenophonus nasoniae,,,,,,,,
1,Atlantibacter hermannii,Atlantibacter_hermannii/0000.fna.gz,4553773,2,1903434,565,Bacteria,Atlantibacter,Atlantibacter hermannii,565,565,Atlantibacter_hermannii/0000.fna.gz,Atlantibacter_hermannii/0000.fna.gz,Atlantibacter_hermannii/0000.fna.gz,1,,Atlantibacter hermannii,Atlantibacter hermannii,Atlantibacter hermannii,,,,,,,,
2,Atlantibacter hermannii,Atlantibacter_hermannii/0001.fna.gz,4474334,2,1903434,565,Bacteria,Atlantibacter,Atlantibacter hermannii,565,565,Atlantibacter_hermannii/0001.fna.gz,Atlantibacter_hermannii/0001.fna.gz,Atlantibacter_hermannii/0001.fna.gz,1,,Atlantibacter hermannii,Atlantibacter hermannii,Atlantibacter hermannii,,,,,,,,
3,Atlantibacter subterranea,Atlantibacter_subterranea/0000.fna.gz,4793564,2,1903434,255519,Bacteria,Atlantibacter,Atlantibacter subterranea,255519,255519,Atlantibacter_subterranea/0000.fna.gz,Atlantibacter_subterranea/0000.fna.gz,Atlantibacter_subterranea/0000.fna.gz,1,,Atlantibacter subterranea,Atlantibacter subterranea,Atlantibacter subterranea,,,,,,,,
4,Brenneria alni,Brenneria_alni/0000.fna.gz,4126956,2,71655,71656,Bacteria,Brenneria,Brenneria alni,71656,71656,Brenneria_alni/0000.fna.gz,Brenneria_alni/0000.fna.gz,Brenneria_alni/0000.fna.gz,1,,Brenneria alni,Brenneria alni,Brenneria alni,,,,,,,,
5,Brenneria goodwinii,Brenneria_goodwinii/0000.fna.gz,5350059,2,71655,1109412,Bacteria,Brenneria,Brenneria goodwinii,1109412,1109412,Brenneria_goodwinii/0000.fna.gz,Brenneria_goodwinii/0000.fna.gz,Brenneria_goodwinii/0000.fna.gz,1,,Brenneria goodwinii,Brenneria goodwinii,Brenneria goodwinii,,,,,,,,
6,Brenneria goodwinii,Brenneria_goodwinii/0001.fna.gz,5360730,2,71655,1109412,Bacteria,Brenneria,Brenneria goodwinii,1109412,1109412,Brenneria_goodwinii/0001.fna.gz,Brenneria_goodwinii/0001.fna.gz,Brenneria_goodwinii/0001.fna.gz,1,,Brenneria goodwinii,Brenneria goodwinii,Brenneria goodwinii,,,,,,,,
7,Brenneria nigrifluens,Brenneria_nigrifluens/0000.fna.gz,4943773,2,71655,55210,Bacteria,Brenneria,Brenneria nigrifluens,55210,55210,Brenneria_nigrifluens/0000.fna.gz,Brenneria_nigrifluens/0000.fna.gz,Brenneria_nigrifluens/0000.fna.gz,1,,Brenneria nigrifluens,Brenneria nigrifluens,Brenneria nigrifluens,,,,,,,,
8,Brenneria roseae,Brenneria_roseae/0000.fna.gz,4477839,2,71655,1509241,Bacteria,Brenneria,Brenneria roseae,1509241,1509241,Brenneria_roseae/0000.fna.gz,Brenneria_roseae/0000.fna.gz,Brenneria_roseae/0000.fna.gz,1,,Brenneria roseae,Brenneria roseae,Brenneria roseae,,,,,,,,
9,Brenneria salicis,Brenneria_salicis/0000.fna.gz,3927655,2,71655,55214,Bacteria,Brenneria,Brenneria salicis,55214,55214,Brenneria_salicis/0000.fna.gz,Brenneria_salicis/0000.fna.gz,Brenneria_salicis/0000.fna.gz,1,,Brenneria salicis,Brenneria salicis,Brenneria salicis,,,,,,,,
10,Buchnera aphidicola,Buchnera_aphidicola/0000.fna.gz,653353,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0000.fna.gz,Buchnera_aphidicola/0000.fna.gz,Buchnera_aphidicola/0000.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
11,Buchnera aphidicola,Buchnera_aphidicola/0001.fna.gz,618379,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0001.fna.gz,Buchnera_aphidicola/0001.fna.gz,Buchnera_aphidicola/0001.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
12,Buchnera aphidicola,Buchnera_aphidicola/0002.fna.gz,642122,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0002.fna.gz,Buchnera_aphidicola/0002.fna.gz,Buchnera_aphidicola/0002.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
13,Buchnera aphidicola,Buchnera_aphidicola/0003.fna.gz,422434,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0003.fna.gz,Buchnera_aphidicola/0003.fna.gz,Buchnera_aphidicola/0003.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
14,Buchnera aphidicola,Buchnera_aphidicola/0004.fna.gz,444925,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0004.fna.gz,Buchnera_aphidicola/0004.fna.gz,Buchnera_aphidicola/0004.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
15,Buchnera aphidicola,Buchnera_aphidicola/0005.fna.gz,653223,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0005.fna.gz,Buchnera_aphidicola/0005.fna.gz,Buchnera_aphidicola/0005.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
16,Buchnera aphidicola,Buchnera_aphidicola/0006.fna.gz,627953,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0006.fna.gz,Buchnera_aphidicola/0006.fna.gz,Buchnera_aphidicola/0006.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
17,Buchnera aphidicola,Buchnera_aphidicola/0007.fna.gz,651316,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0007.fna.gz,Buchnera_aphidicola/0007.fna.gz,Buchnera_aphidicola/0007.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
18,Buchnera aphidicola,Buchnera_aphidicola/0008.fna.gz,638851,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0008.fna.gz,Buchnera_aphidicola/0008.fna.gz,Buchnera_aphidicola/0008.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
19,Buchnera aphidicola,Buchnera_aphidicola/0009.fna.gz,607835,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0009.fna.gz,Buchnera_aphidicola/0009.fna.gz,Buchnera_aphidicola/0009.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
20,Buchnera aphidicola,Buchnera_aphidicola/0010.fna.gz,636266,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0010.fna.gz,Buchnera_aphidicola/0010.fna.gz,Buchnera_aphidicola/0010.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
21,Buchnera aphidicola,Buchnera_aphidicola/0011.fna.gz,430464,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0011.fna.gz,Buchnera_aphidicola/0011.fna.gz,Buchnera_aphidicola/0011.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
22,Buchnera aphidicola,Buchnera_aphidicola/0012.fna.gz,455403,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0012.fna.gz,Buchnera_aphidicola/0012.fna.gz,Buchnera_aphidicola/0012.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
23,Buchnera aphidicola,Buchnera_aphidicola/0013.fna.gz,456703,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0013.fna.gz,Buchnera_aphidicola/0013.fna.gz,Buchnera_aphidicola/0013.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
24,Buchnera aphidicola,Buchnera_aphidicola/0014.fna.gz,451961,2,32199,9,Bacteria,Buchnera,Buchnera aphidicola,9,9,Buchnera_aphidicola/0014.fna.gz,Buchnera_aphidicola/0014.fna.gz,Buchnera_aphidicola/0014.fna.gz,1,,Buchnera aphidicola,Buchnera aphidicola,Buchnera aphidicola,,,,,,,,
25,Budvicia aquatica,Budvicia_aquatica/0000.fna.gz,5946490,2,82978,82979,Bacteria,Budvicia,Budvicia aquatica,82979,82979,Budvicia_aquatica/0000.fna.gz,Budvicia_aquatica/0000.fna.gz,Budvicia_aquatica/0000.fna.gz,1,,Budvicia aquatica,Budvicia aquatica,Budvicia aquatica,,,,,,,,
26,Buttiauxella agrestis,Buttiauxella_agrestis/0000.fna.gz,4725816,2,82976,82977,Bacteria,Buttiauxella,Buttiauxella agrestis,82977,82977,Buttiauxella_agrestis/0000.fna.gz,Buttiauxella_agrestis/0000.fna.gz,Buttiauxella_agrestis/0000.fna.gz,1,,Buttiauxella agrestis,Buttiauxella agrestis,Buttiauxella agrestis,,,,,,,,
27,Buttiauxella agrestis,Buttiauxella_agrestis/0001.fna.gz,5285864,2,82976,82977,Bacteria,Buttiauxella,Buttiauxella agrestis,82977,82977,Buttiauxella_agrestis/0001.fna.gz,Buttiauxella_agrestis/0001.fna.gz,Buttiauxella_agrestis/0001.fna.gz,1,,Buttiauxella agrestis,Buttiauxella agrestis,Buttiauxella agrestis,,,,,,,,
28,Buttiauxella brennerae,Buttiauxella_brennerae/0000.fna.gz,4758272,2,82976,82988,Bacteria,Buttiauxella,Buttiauxella brennerae,82988,82988,Buttiauxella_brennerae/0000.fna.gz,Buttiauxella_brennerae/0000.fna.gz,Buttiauxella_brennerae/0000.fna.gz,1,,Buttiauxella brennerae,Buttiauxella brennerae,Buttiauxella brennerae,,,,,,,,
29,Buttiauxella ferragutiae,Buttiauxella_ferragutiae/0000.fna.gz,5087094,2,82976,82989,Bacteria,Buttiauxella,Buttiauxella ferragutiae,82989,82989,Buttiauxella_ferragutiae/0000.fna.gz,Buttiauxella_ferragutiae/0000.fna.gz,Buttiauxella_ferragutiae/0000.fna.gz,1,,Buttiauxella ferragutiae,Buttiauxella ferragutiae,Buttiauxella ferragutiae,,,,,,,,
30,Buttiauxella ferragutiae,Buttiauxella_ferragutiae/0001.fna.gz,5498356,2,82976,82989,Bacteria,Buttiauxella,Buttiauxella ferragutiae,82989,82989,Buttiauxella_ferragutiae/0001.fna.gz,Buttiauxella_ferragutiae/0001.fna.gz,Buttiauxella_ferragutiae/0001.fna.gz,1,,Buttiauxella ferragutiae,Buttiauxella ferragutiae,Buttiauxella ferragutiae,,,,,,,,
31,Buttiauxella gaviniae,Buttiauxella_gaviniae/0000.fna.gz,5068083,2,82976,82990,Bacteria,Buttiauxella,Buttiauxella gaviniae,82990,82990,Buttiauxella_gaviniae/0000.fna.gz,Buttiauxella_gaviniae/0000.fna.gz,Buttiauxella_gaviniae/0000.fna.gz,1,,Buttiauxella gaviniae,Buttiauxella gaviniae,Buttiauxella gaviniae,,,,,,,,
32,Buttiauxella izardii,Buttiauxella_izardii/0000.fna.gz,4769981,2,82976,82991,Bacteria,Buttiauxella,Buttiauxella izardii,82991,82991,Buttiauxella_izardii/0000.fna.gz,Buttiauxella_izardii/0000.fna.gz,Buttiauxella_izardii/0000.fna.gz,1,,Buttiauxella izardii,Buttiauxella izardii,Buttiauxella izardii,,,,,,,,
33,Buttiauxella noackiae,Buttiauxella_noackiae/0000.fna.gz,4766744,2,82976,82992,Bacteria,Buttiauxella,Buttiauxella noackiae,82992,82992,Buttiauxella_noackiae/0000.fna.gz,Buttiauxella_noackiae/0000.fna.gz,Buttiauxella_noackiae/0000.fna.gz,1,,Buttiauxella noackiae,Buttiauxella noackiae,Buttiauxella noackiae,,,,,,,,
34,Buttiauxella noackiae,Buttiauxella_noackiae/0001.fna.gz,4803576,2,82976,82992,Bacteria,Buttiauxella,Buttiauxella noackiae,82992,82992,Buttiauxella_noackiae/0001.fna.gz,Buttiauxella_noackiae/0001.fna.gz,Buttiauxella_noackiae/0001.fna.gz,1,,Buttiauxella noackiae,Buttiauxella noackiae,Buttiauxella noackiae,,,,,,,,
35,Buttiauxella warmboldiae,Buttiauxella_warmboldiae/0000.fna.gz,4301460,2,82976,82993,Bacteria,Buttiauxella,Buttiauxella warmboldiae,82993,82993,Buttiauxella_warmboldiae/0000.fna.gz,Buttiauxella_warmboldiae/0000.fna.gz,Buttiauxella_warmboldiae/0000.fna.gz,1,,Buttiauxella warmboldiae,Buttiauxella warmboldiae,Buttiauxella warmboldiae,,,,,,,,
36,Cedecea davisae,Cedecea_davisae/0000.fna.gz,4886981,2,158483,158484,Bacteria,Cedecea,Cedecea davisae,158484,158484,Cedecea_davisae/0000.fna.gz,Cedecea_davisae/0000.fna.gz,Cedecea_davisae/0000.fna.gz,1,,Cedecea davisae,Cedecea davisae,Cedecea davisae,,,,,,,,
37,Cedecea lapagei,Cedecea_lapagei/0000.fna.gz,4778444,2,158483,158823,Bacteria,Cedecea,Cedecea lapagei,158823,158823,Cedecea_lapagei/0000.fna.gz,Cedecea_lapagei/0000.fna.gz,Cedecea_lapagei/0000.fna.gz,1,,Cedecea lapagei,Cedecea lapagei,Cedecea lapagei,,,,,,,,
38,Cedecea neteri,Cedecea_neteri/0000.fna.gz,4876443,2,158483,158822,Bacteria,Cedecea,Cedecea neteri,158822,158822,Cedecea_neteri/0000.fna.gz,Cedecea_neteri/0000.fna.gz,Cedecea_neteri/0000.fna.gz,1,,Cedecea neteri,Cedecea neteri,Cedecea neteri,,,,,,,,
39,Cedecea neteri,Cedecea_neteri/0001.fna.gz,4965436,2,158483,158822,Bacteria,Cedecea,Cedecea neteri,158822,158822,Cedecea_neteri/0001.fna.gz,Cedecea_neteri/0001.fna.gz,Cedecea_neteri/0001.fna.gz,1,,Cedecea neteri,Cedecea neteri,Cedecea neteri,,,,,,,,
40,Cedecea neteri,Cedecea_neteri/0002.fna.gz,4659311,2,158483,158822,Bacteria,Cedecea,Cedecea neteri,158822,158822,Cedecea_neteri/0002.fna.gz,Cedecea_neteri/0002.fna.gz,Cedecea_neteri/0002.fna.gz,1,,Cedecea neteri,Cedecea neteri,Cedecea neteri,,,,,,,,
41,Cedecea neteri,Cedecea_neteri/0003.fna.gz,5469298,2,158483,158822,Bacteria,Cedecea,Cedecea neteri,158822,158822,Cedecea_neteri/0003.fna.gz,Cedecea_neteri/0003.fna.gz,Cedecea_neteri/0003.fna.gz,1,,Cedecea neteri,Cedecea neteri,Cedecea neteri,,,,,,,,
42,Cedecea neteri,Cedecea_neteri/0004.fna.gz,5353919,2,158483,158822,Bacteria,Cedecea,Cedecea neteri,158822,158822,Cedecea_neteri/0004.fna.gz,Cedecea_neteri/0004.fna.gz,Cedecea_neteri/0004.fna.gz,1,,Cedecea neteri,Cedecea neteri,Cedecea neteri,,,,,,,,
43,Cedecea neteri,Cedecea_neteri/0005.fna.gz,4746650,2,158483,158822,Bacteria,Cedecea,Cedecea neteri,158822,158822,Cedecea_neteri/0005.fna.gz,Cedecea_neteri/0005.fna.gz,Cedecea_neteri/0005.fna.gz,1,,Cedecea neteri,Cedecea neteri,Cedecea neteri,,,,,,,,
44,Cedecea neteri,Cedecea_neteri/0006.fna.gz,5107633,2,158483,158822,Bacteria,Cedecea,Cedecea neteri,158822,158822,Cedecea_neteri/0006.fna.gz,Cedecea_neteri/0006.fna.gz,Cedecea_neteri/0006.fna.gz,1,,Cedecea neteri,Cedecea neteri,Cedecea neteri,,,,,,,,
45,Chania multitudinisentens,Chania_multitudinisentens/0000.fna.gz,5488183,2,1745211,1639108,Bacteria,Chania,Chania multitudinisentens,1639108,1639108,Chania_multitudinisentens/0000.fna.gz,Chania_multitudinisentens/0000.fna.gz,Chania_multitudinisentens/0000.fna.gz,1,,Chania multitudinisentens,Chania multitudinisentens,Chania multitudinisentens,,,,,,,,
46,Citrobacter amalonaticus,Citrobacter_amalonaticus/0000.fna.gz,5109913,2,544,35703,Bacteria,Citrobacter,Citrobacter amalonaticus,35703,35703,Citrobacter_amalonaticus/0000.fna.gz,Citrobacter_amalonaticus/0000.fna.gz,Citrobacter_amalonaticus/0000.fna.gz,1,,Citrobacter amalonaticus,Citrobacter amalonaticus,Citrobacter amalonaticus,,,,,,,,
47,Citrobacter amalonaticus,Citrobacter_amalonaticus/0001.fna.gz,5273145,2,544,35703,Bacteria,Citrobacter,Citrobacter amalonaticus,35703,35703,Citrobacter_amalonaticus/0001.fna.gz,Citrobacter_amalonaticus/0001.fna.gz,Citrobacter_amalonaticus/0001.fna.gz,1,,Citrobacter amalonaticus,Citrobacter amalonaticus,Citrobacter amalonaticus,,,,,,,,
48,Citrobacter amalonaticus,Citrobacter_amalonaticus/0002.fna.gz,5354311,2,544,35703,Bacteria,Citrobacter,Citrobacter amalonaticus,35703,35703,Citrobacter_amalonaticus/0002.fna.gz,Citrobacter_amalonaticus/0002.fna.gz,Citrobacter_amalonaticus/0002.fna.gz,1,,Citrobacter amalonaticus,Citrobacter amalonaticus,Citrobacter amalonaticus,,,,,,,,
49,Citrobacter amalonaticus,Citrobacter_amalonaticus/0003.fna.gz,4934003,2,544,35703,Bacteria,Citrobacter,Citrobacter amalonaticus,35703,35703,Citrobacter_amalonaticus/0003.fna.gz,Citrobacter_amalonaticus/0003.fna.gz,Citrobacter_amalonaticus/0003.fna.gz,1,,Citrobacter amalonaticus,Citrobacter amalonaticus,Citrobacter amalonaticus,,,,,,,,
50,Citrobacter amalonaticus,Citrobacter_amalonaticus/0004.fna.gz,5738233,2,544,35703,Bacteria,Citrobacter,Citrobacter amalonaticus,35703,35703,Citrobacter_amalonaticus/0004.fna.gz,Citrobacter_amalonaticus/0004.fna.gz,Citrobacter_amalonaticus/0004.fna.gz,1,,Citrobacter amalonaticus,Citrobacter amalonaticus,Citrobacter amalonaticus,,,,,,,,
